year,numbattersavg,min_batters,numbatters25,numbatters50,numbatters75,max_batters,hitsavg,min_hits,hits25,hits50,hits75,max_hits,ba_avg,ba_min,ba_max,obp_avg,obp_min,obp_max,slg_avg,slg_min,slg_max,sb_avg,sb_min,sb_25,sb_50,sb_75,sb_max,cs_avg,cs_min,cs_25,cs_50,cs_75,cs_max,xbh_avg,xbh_min,xbh_25,xbh_50,xbh_75,xbh_max,tb_avg,tb_min,tb_25,tb_50,tb_75,tb_max,hr_avg,hr_min,hr_25,hr_50,hr_75,hr_max,so_avg,so_min,so_25,so_50,so_75,so_max,bb_avg,bb_min,bb_25,bb_50,bb_75,bb_max,gdp_avg,gdp_min,gdp_25,gdp_50,gdp_75,gdp_max,lob_avg,lob_min,lob_25,lob_50,lob_75,lob_max
1980,36.538,32,34.0,36.5,39.0,42,1467.077,1310,1408.5,1458.5,1521.5,1633,0.264,0.244,0.286,0.326,0.307,0.35,0.387,0.342,0.448,126.692,62,87.25,116.5,157.5,239,61.923,36,49.75,60.0,72.0,102,404.154,305,375.75,400.0,437.0,537,2150.077,1837,2053.25,2125.5,2290.75,2534,118.731,61,99.5,114.5,141.5,203,777.385,589,721.75,773.5,843.0,912,507.308,399,459.0,496.5,539.75,645,129.308,96,116.75,125.0,143.5,165,1137.423,1054,1098.5,1122.0,1176.75,1239
1981,36.308,32,34.0,36.5,38.0,43,929.115,797,886.75,938.5,962.5,1052,0.256,0.226,0.275,0.32,0.286,0.341,0.369,0.33,0.399,77.731,32,49.75,82.0,99.5,138,42.308,27,37.0,41.5,46.75,62,247.692,210,235.5,248.0,259.0,289,1339.154,1163,1302.5,1334.0,1397.5,1524,68.5,32,55.5,64.0,86.5,104,509.115,379,467.75,509.0,552.25,647,341.077,275,305.75,341.0,377.25,404,84.923,60,78.0,83.5,94.0,110,748.462,658,721.25,751.0,782.75,814
1982,38.115,33,36.25,38.5,39.75,47,1448.115,1286,1412.5,1437.5,1488.5,1603,0.261,0.236,0.285,0.324,0.302,0.347,0.389,0.349,0.455,122.154,38,86.25,131.5,151.0,232,62.192,33,52.25,59.5,75.75,91,409.962,344,368.5,402.5,444.75,534,2155.077,1896,2011.25,2131.5,2286.0,2606,129.962,67,106.75,133.0,147.5,216,816.192,625,758.5,811.5,868.25,1005,511.615,415,456.0,493.5,565.25,651,121.038,95,104.5,114.5,138.5,171,1129.192,1052,1094.75,1119.0,1152.5,1258
1983,38.692,31,37.0,39.5,41.0,44,1440.115,1274,1391.0,1455.5,1495.0,1556,0.261,0.239,0.277,0.325,0.3,0.341,0.389,0.344,0.436,127.885,30,95.0,139.0,161.5,235,62.269,26,44.75,65.5,77.0,98,415.269,310,379.5,402.0,461.75,493,2149.038,1874,2033.25,2150.0,2260.0,2431,126.962,83,107.5,127.5,145.0,168,835.231,665,775.25,837.5,877.5,1031,519.923,397,476.75,513.5,542.5,640,126.769,76,117.0,123.0,134.5,171,1123.808,1034,1103.25,1121.0,1154.75,1213
1984,37.846,31,36.0,38.0,40.0,43,1437.731,1316,1370.25,1427.0,1492.25,1598,0.26,0.244,0.283,0.323,0.306,0.342,0.385,0.348,0.441,116.615,38,84.75,112.5,148.0,220,58.115,25,50.25,62.0,67.75,85,402.154,338,368.0,387.5,436.5,487,2128.385,1881,2016.25,2122.0,2197.25,2490,125.308,75,106.25,118.5,146.0,187,865.385,673,815.25,856.5,927.0,1084,512.308,400,470.5,517.5,555.75,620,122.808,88,104.25,129.0,137.75,152,1135.808,1071,1097.25,1126.5,1182.25,1217
1985,38.385,33,36.0,38.0,40.75,44,1414.538,1263,1369.0,1411.5,1456.0,1615,0.257,0.233,0.282,0.323,0.299,0.347,0.391,0.347,0.43,119.115,60,79.75,113.5,135.0,314,55.038,27,45.0,53.0,59.5,96,422.692,359,392.0,413.0,464.0,501,2151.423,1887,2050.5,2132.5,2239.5,2455,138.538,80,116.5,137.5,154.75,214,863.5,746,817.5,851.0,896.5,1095,532.231,462,494.5,526.5,562.0,648,126.654,81,119.0,127.5,136.0,164,1120.308,1009,1092.25,1127.5,1146.25,1241
1986,39.115,34,37.25,39.0,40.0,47,1418.462,1270,1386.25,1402.0,1446.75,1620,0.257,0.236,0.284,0.326,0.309,0.347,0.395,0.327,0.43,127.385,41,97.75,125.0,151.0,262,62.308,34,50.75,60.0,75.75,95,429.962,322,403.5,429.5,461.25,501,2174.615,1756,2074.75,2174.5,2268.75,2451,146.654,58,127.75,146.0,166.0,198,950.231,707,906.5,934.5,981.5,1154,547.192,456,502.75,537.5,582.5,671,119.962,83,110.0,123.0,129.75,159,1126.538,1036,1099.0,1129.0,1149.5,1217
1987,40.308,35,37.0,39.0,42.5,49,1457.5,1386,1423.25,1453.5,1478.0,1554,0.263,0.252,0.278,0.331,0.309,0.352,0.415,0.371,0.451,137.885,69,114.75,131.5,161.25,248,58.808,43,46.5,53.0,70.25,97,467.192,370,452.0,477.0,491.75,531,2302.077,2046,2229.5,2333.5,2399.25,2548,171.462,94,154.25,173.5,196.0,225,965.346,825,919.25,944.0,1028.5,1109,553.423,445,511.75,545.0,592.75,653,120.154,94,110.0,121.5,129.0,150,1127.462,1041,1091.75,1135.5,1157.0,1227
1988,39.808,32,37.25,40.5,42.75,45,1394.0,1275,1335.0,1382.5,1452.25,1569,0.254,0.238,0.283,0.318,0.298,0.357,0.378,0.337,0.421,126.962,65,97.25,120.5,139.25,234,54.538,36,46.0,53.0,60.75,89,400.231,311,379.25,396.0,428.5,476,2071.154,1859,1942.0,2057.0,2162.0,2330,122.308,71,107.75,121.5,141.5,158,898.269,728,841.25,909.0,941.75,1053,499.385,403,455.75,487.5,543.5,623,118.731,94,106.5,118.0,133.75,145,1115.269,1038,1076.5,1112.0,1137.75,1269
1989,41.269,33,39.25,41.0,44.5,49,1395.885,1281,1342.75,1391.5,1431.75,1571,0.254,0.234,0.277,0.319,0.298,0.351,0.375,0.339,0.403,119.846,56,91.0,123.0,151.5,165,55.423,35,51.25,54.0,59.5,71,394.538,338,372.5,392.5,409.25,464,2060.962,1855,1989.5,2062.5,2134.5,2281,118.577,73,102.75,123.5,128.75,147,909.615,743,856.25,917.5,957.75,1071,520.308,429,490.0,507.0,557.0,643,117.846,80,107.25,114.5,129.0,169,1133.923,1076,1106.25,1130.0,1146.0,1308
